channel,mean,min,max,cv,variance,std,skewness,kurtosis,n,path,flat
Ex_642_Em_2,3.71264134404675,0,165,1.25779331164207,21.8064291829595,4.66973545106782,5.03871200411707,48.4894025589135,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000000.raw,yes
Ex_642_Em_2,2.92623520818115,0,101,0.979122679454569,8.20904588742243,2.86514325774863,2.17049508135839,11.8502206458945,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000010.raw,yes
Ex_642_Em_2,2.94437925493061,0,74,0.955024890451596,7.90709359556486,2.81195547538805,2.01139127678934,9.64285402759249,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000020.raw,yes
Ex_642_Em_2,2.87314828341855,0,72,0.971545149837278,7.79187644094159,2.7913932795186,2.03752550860901,9.80142523864159,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000030.raw,yes
Ex_642_Em_2,2.91497735573411,0,68,0.958517489337387,7.80675327026979,2.7940567764936,2.02586442731959,10.0585312454667,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000040.raw,yes
Ex_642_Em_2,2.88683710737765,0,85,0.964371342556979,7.75056121614275,2.78398297698509,2.00175999238396,9.42524036557382,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000050.raw,yes
Ex_642_Em_2,2.92751760409058,0,78,0.953933200330554,7.79892885858092,2.79265623709416,2.01855898248045,10.1159616842484,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000060.raw,yes
Ex_642_Em_2,2.90121607012418,0,88,0.960171494230564,7.75992932027625,2.78566496913686,1.99288142701274,9.60119478593989,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000070.raw,yes
Ex_642_Em_2,2.92217092768444,0,67,0.953792952786695,7.76818303526379,2.78714603766358,1.99136237578562,9.53023701393911,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000080.raw,yes
Ex_642_Em_2,2.89396260043828,0,84,0.962825565316865,7.76392006227404,2.78638117677285,2.02246966257422,9.97687573761187,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000090.raw,yes
Ex_642_Em_2,2.89361431701972,0,80,0.960951089027438,7.73185775683162,2.78062182916549,2.00678897807718,9.65277222103514,3422500,/media/kmoradi/Elements/20210729_16_18_40_SW210318-07_R-HPC_15x_Zstep1um_50p_4ms/Ex_642_Em_2/143750/143750_146720/000100.raw,yes
